party_id,party_rigg_id,counterparty_sector,country,is_rigg_aligned
DE_PARTY_00001,RIGG_DE_00001,S11,DE,True
DE_PARTY_00002,RIGG_DE_00002,S11,DE,True
DE_PARTY_00003,RIGG_DE_00003,S11,DE,True
DE_PARTY_00004,RIGG_DE_00004,S11,DE,True
DE_PARTY_00005,RIGG_DE_00005,S11,DE,True
DE_PARTY_00006,RIGG_DE_00006,S11,DE,True
DE_PARTY_00007,RIGG_DE_00007,S11,DE,True
DE_PARTY_00008,RIGG_DE_00008,S11,DE,True
DE_PARTY_00009,RIGG_DE_00009,S11,DE,True
DE_PARTY_00010,RIGG_DE_00010,S11,DE,True
DE_PARTY_00011,RIGG_DE_00011,S11,DE,True
DE_PARTY_00012,RIGG_DE_00012,S11,DE,True
DE_PARTY_00013,RIGG_DE_00013,S11,DE,True
DE_PARTY_00014,RIGG_DE_00014,S11,DE,True
DE_PARTY_00015,RIGG_DE_00015,S11,DE,True
DE_PARTY_00016,RIGG_DE_00016,S11,DE,True
DE_PARTY_00017,RIGG_DE_00017,S11,DE,True
DE_PARTY_00018,RIGG_DE_00018,S11,DE,True
DE_PARTY_00019,RIGG_DE_00019,S11,DE,True
DE_PARTY_00020,RIGG_DE_00020,S11,DE,True
DE_PARTY_00021,RIGG_DE_00021,S11,DE,True
DE_PARTY_00022,RIGG_DE_00022,S11,DE,True
DE_PARTY_00023,RIGG_DE_00023,S11,DE,True
DE_PARTY_00024,RIGG_DE_00024,S11,DE,True
DE_PARTY_00025,RIGG_DE_00025,S11,DE,True
DE_PARTY_00026,RIGG_DE_00026,S11,DE,True
DE_PARTY_00027,RIGG_DE_00027,S11,DE,True
DE_PARTY_00028,RIGG_DE_00028,S11,DE,True
DE_PARTY_00029,RIGG_DE_00029,S11,DE,True
DE_PARTY_00030,RIGG_DE_00030,S11,DE,True
DE_PARTY_00031,RIGG_DE_00031,S11,DE,True
DE_PARTY_00032,RIGG_DE_00032,S11,DE,True
DE_PARTY_00033,RIGG_DE_00033,S11,DE,True
DE_PARTY_00034,RIGG_DE_00034,S11,DE,True
DE_PARTY_00035,RIGG_DE_00035,S11,DE,True
DE_PARTY_00036,RIGG_DE_00036,S11,DE,True
DE_PARTY_00037,RIGG_DE_00037,S11,DE,True
DE_PARTY_00038,RIGG_DE_00038,S11,DE,True
DE_PARTY_00039,RIGG_DE_00039,S11,DE,True
DE_PARTY_00040,RIGG_DE_00040,S11,DE,True
DE_PARTY_00041,RIGG_DE_00041,S11,DE,True
DE_PARTY_00042,RIGG_DE_00042,S11,DE,True
DE_PARTY_00043,RIGG_DE_00043,S11,DE,True
DE_PARTY_00044,RIGG_DE_00044,S11,DE,True
DE_PARTY_00045,RIGG_DE_00045,S11,DE,True
DE_PARTY_00046,RIGG_DE_00046,S11,DE,True
DE_PARTY_00047,RIGG_DE_00047,S11,DE,True
DE_PARTY_00048,RIGG_DE_00048,S11,DE,True
DE_PARTY_00049,RIGG_DE_00049,S11,DE,True
DE_PARTY_00050,RIGG_DE_00050,S11,DE,True
DE_PARTY_00051,RIGG_DE_00051,S11,DE,True
DE_PARTY_00052,RIGG_DE_00052,S11,DE,True
DE_PARTY_00053,RIGG_DE_00053,S11,DE,True
DE_PARTY_00054,RIGG_DE_00054,S11,DE,True
DE_PARTY_00055,RIGG_DE_00055,S11,DE,True
DE_PARTY_00056,RIGG_DE_00056,S11,DE,True
DE_PARTY_00057,RIGG_DE_00057,S11,DE,True
DE_PARTY_00058,RIGG_DE_00058,S11,DE,True
DE_PARTY_00059,RIGG_DE_00059,S11,DE,True
DE_PARTY_00060,RIGG_DE_00060,S11,DE,True
DE_PARTY_00061,RIGG_DE_00061,S11,DE,True
DE_PARTY_00062,RIGG_DE_00062,S11,DE,True
DE_PARTY_00063,RIGG_DE_00063,S11,DE,True
DE_PARTY_00064,RIGG_DE_00064,S11,DE,True
DE_PARTY_00065,RIGG_DE_00065,S11,DE,True
DE_PARTY_00066,RIGG_DE_00066,S11,DE,True
DE_PARTY_00067,RIGG_DE_00067,S11,DE,True
DE_PARTY_00068,RIGG_DE_00068,S11,DE,True
DE_PARTY_00069,RIGG_DE_00069,S11,DE,True
DE_PARTY_00070,RIGG_DE_00070,S11,DE,True
DE_PARTY_00071,RIGG_DE_00071,S11,DE,True
DE_PARTY_00072,RIGG_DE_00072,S11,DE,True
DE_PARTY_00073,RIGG_DE_00073,S11,DE,True
DE_PARTY_00074,RIGG_DE_00074,S11,DE,True
DE_PARTY_00075,RIGG_DE_00075,S11,DE,True
DE_PARTY_00076,RIGG_DE_00076,S11,DE,True
DE_PARTY_00077,RIGG_DE_00077,S11,DE,True
DE_PARTY_00078,RIGG_DE_00078,S11,DE,True
DE_PARTY_00079,RIGG_DE_00079,S11,DE,True
DE_PARTY_00080,RIGG_DE_00080,S11,DE,True
DE_PARTY_00081,RIGG_DE_00081,S11,DE,True
DE_PARTY_00082,RIGG_DE_00082,S11,DE,True
DE_PARTY_00083,RIGG_DE_00083,S11,DE,True
DE_PARTY_00084,RIGG_DE_00084,S11,DE,True
DE_PARTY_00085,RIGG_DE_00085,S11,DE,True
DE_PARTY_00086,RIGG_DE_00086,S11,DE,True
DE_PARTY_00087,RIGG_DE_00087,S11,DE,True
DE_PARTY_00088,RIGG_DE_00088,S11,DE,True
DE_PARTY_00089,RIGG_DE_00089,S11,DE,True
